매장명,도로명주소,매장유형,위도,경도
하누,강원특별자치도 평창군 대화면 대화3길 11,음식점 및 주점업,37.5009456621,128.4533374392
종인양품점,강원특별자치도 평창군 대화면 대화중앙로 129,도매 및 상품 중개업,37.5004151147,128.4550049328
오대산서울상회,강원도 평창군 진부면 오대산로 83,소매업; 자동차 제외,37.71014,128.5996415
씨유대관령IC점,강원특별자치도 평창군 대관령면 경강로 5193,소매업; 자동차 제외,37.6800460231,128.7001078739
대흥상회,강원특별자치도 평창군 봉평면 동이장터길 14-1,소매업; 자동차 제외,37.616051762,128.3776842332
더덕향,강원특별자치도 평창군 봉평면 이효석길 118,음식점 및 주점업,37.6112014864,128.3690138313
봉평메밀식품,강원도 평창군 봉평면 허생원장터길 21,식료품 제조업,37.6160935,128.3768123
용천짬뽕,강원특별자치도 평창군 대화면 대화시장2길 19,음식점 및 주점업,37.5000707003,128.4542286245
토담막국수,강원특별자치도 평창군 대화면 대화5길 4,음식점 및 주점업,37.5019224162,128.4533475549
은혜분식,강원특별자치도 평창군 대화면 대화시장1길 10,음식점 및 주점업,37.4994049884,128.4549101309
대풍농약종묘사,강원특별자치도 평창군 대화면 대화중앙로 129-1,도매 및 상품 중개업,37.5004829862,128.454929242
평창면옥,강원특별자치도 평창군 대화면 대화3길 11,음식점 및 주점업,37.5009456621,128.4533374392
월이메밀닭강정,강원도 평창군 봉평면 기풍3길 33,음식점 및 주점업,37.6156833,128.3780262
에덴방아간,강원도 평창군 봉평면 동이장터길 10-1,식료품 제조업,37.6157839,128.3779754
부림농원,강원도 평창군 평창읍 향동리 1 2,도매 및 상품 중개업,37.3778094,128.3861044
봉평가,강원도 평창군 용평면 탑거리길 8-8,도매 및 상품 중개업,37.6117153,128.4672668
굴리엘모,강원특별자치도 평창군 진부면 청송로 109,음식점 및 주점업,37.6367162894,128.5587414477
신아엔지니어링,강원도 평창군 평창읍 허강소길 50-2,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",37.3905426,128.4025811
평창차이나,강원도 평창군 평창읍 백오1길 28 평창차이나,음식점 및 주점업,37.3672774,128.3942486
장평미용실,강원도 평창군 용평면 금송1길 21,기타 개인 서비스업,37.5855912,128.413652
농업회사법인(주)양피리,강원특별자치도 평창군 진부면 진벌1길 39,소매업; 자동차 제외,37.650439151,128.56773284
골드팜,강원도 평창군 대관령면 올림픽로 389 101동 601호,도매 및 상품 중개업,37.6583644728,128.6954528983
오대산민속식당,강원도 평창군 진부면 오대산로 152 9동1호,음식점 및 주점업,37.7166585675,128.6018791267
금당롯지,강원도 평창군 용평면 금당길 509 금당롯지,숙박업,37.5500609,128.3946552
지연이네,강원특별자치도 평창군 진부면 진부시장안길 18,소매업; 자동차 제외,37.6374243771,128.558224702
진고개식당,강원특별자치도 평창군 진부면 진고개로 406-4,음식점 및 주점업,37.7027292302,128.6023925592
놀다가게,"강원도 평창군 미탄면 평안한치길 9, 두레프라임빌",음식점 및 주점업,37.3417327,128.5010883
시연헤어,강원특별자치도 평창군 대관령면 횡계길 34,기타 개인 서비스업,37.6736338675,128.7089554912
배스킨라빈스 강원횡계,강원도 평창군 대관령면 대관령 마루길7,식료품 제조업,37.6685269,128.7107703
투니스,강원특별자치도 평창군 봉평면 태기로 28,음식점 및 주점업,37.5927660652,128.3179055165
원경펜션,강원특별자치도 평창군 대화면 금당계곡로 1151-1,숙박업,37.5125304108,128.3907392001
봉평메밀 허생원메밀국수,강원도 평창군 봉평면 이효석길 134,음식점 및 주점업,37.6121824,128.3707018
농업회사법인 주식회사 제이에스내추럴,강원도 평창군 용평면 평창대로 1910-1,식료품 제조업,37.5770582,128.420689
토담,강원특별자치도 평창군 봉평면 기풍로 192,소매업; 자동차 제외,37.6192587597,128.3767667636
봉평건강원,강원특별자치도 평창군 봉평면 허생원장터길 10,음식점 및 주점업,37.6151895415,128.3777647029
레인보우,강원특별자치도 평창군 대관령면 올림픽로 246,임대업; 부동산 제외,37.6649383567,128.704029201
원미막국수,강원특별자치도 평창군 평창읍 하평길 39-5,음식점 및 주점업,37.367929876,128.3809119549
솜다리,강원특별자치도 평창군 봉평면 안흥동길 80,숙박업,37.5896456859,128.3111766572
BHC치킨오르새피자,강원도 평창군 대화면 대화3길 15,음식점 및 주점업,37.5007545,128.4532414
미방약국,강원도 평창군 대화면 대화중앙로 117,소매업; 자동차 제외,37.4994323,128.4551055
손대포,강원특별자치도 평창군 평창읍 평창시장1길 14,음식점 및 주점업,37.3668553795,128.3948847215
곰발바닥신발,강원특별자치도 평창군 평창읍 백오1길 13,소매업; 자동차 제외,37.36665584,128.3940041728
강서방 치킨,강원도 평창군 봉평면 태기로 443,음식점 및 주점업,37.5672066,128.3479538
올리브,강원특별자치도 평창군 진부면 진부중앙로 70-1,소매업; 자동차 제외,37.6373868233,128.5590554424
성신종합건재,강원특별자치도 평창군 평창읍 평창중앙로 164,소매업; 자동차 제외,37.37346168,128.3944987178
프로스펙스평창점,강원도 평창군 평창읍 평창중앙로 24,소매업; 자동차 제외,37.3669549,128.3957372
