매장명,도로명주소,매장유형,위도,경도
채원수산,전라남도 고흥군 도양읍 비봉로 140,음식점 및 주점업,34.5284366,127.1358088
고흥농협경제사업장,전남 고흥군 고흥읍 서문리,음식점 및 주점업,34.6070969385,127.2825301067
피자스쿨 고흥녹동점,전라남도 고흥군 도양읍 천마로 86,음식점 및 주점업,34.530436,127.1380503
미림유통,전라남도 고흥군 고흥읍 흥양길 67-1,소매업; 자동차 제외,34.6118427,127.2824314
트리안꽃화원,전남 고흥군 도양읍 봉암리,식료품 제조업,34.4963,127.1473
네이처리퍼블릭 고흥점,전라남도 고흥군 고흥읍 봉황길 39,음식점 및 주점업,34.6076509,127.2842723
현대할인마트,전라남도 고흥군 도화면 중심길 13-1,소매업; 자동차 제외,34.5092804612,127.3179053687
봉남상회,전라남도 고흥군 고흥읍 시장천변길 29-10,음식점 및 주점업,34.6080541,127.2865894
항구네실내포차,전라남도 고흥군 도양읍 녹동신항8길 44,음식점 및 주점업,34.5272389,127.145344
풍양상회,전라남도 고흥군 고흥읍 시장천변길,음식점 및 주점업,34.6083223352,127.2869028112
카페꽁띠,전라남도 고흥군 도양읍 비봉로 177,음식점 및 주점업,34.5256637,127.135752
드림영농조합법인,전라남도 고흥군 남양면 잠두배밭길 55,음식점 및 주점업,34.7482694782,127.3697776404
농업회사법인유자골고흥한우주식회사,전라남도 고흥군 동강면 고흥로,식료품 제조업,34.8236368684,127.3452428746
제일자동차정비공업사,전남 고흥군 고흥읍 서문리,기타 개인 서비스업,34.6099,127.2787
중앙팬시코아,전라남도 고흥군 과역면 고흥로 2981-1,소매업; 자동차 제외,34.6790365,127.3613427
주식회사고흥짚트랙,전라남도 고흥군 영남면 해맞이로 840,스포츠 및 오락관련 서비스업,34.5850195,127.492276
원앙식당,전남 고흥군 고흥읍 남계리,음식점 및 주점업,34.6112,127.2896
이춘봉인생치킨 고흥녹동점,전라남도 고흥군 도양읍 녹동신항8길 35-8,음식점 및 주점업,34.5279346,127.1446109
고흥윤호21병원,전남 고흥군 고흥읍,보건업,34.6066700529,127.2816179865
산골농원,전라남도 고흥군 동강면 원관덕길 98-90,음식점 및 주점업,34.8015603,127.3566828
굽네치킨,전남 고흥군 고흥읍 남계리,음식점 및 주점업,34.6112,127.2896
이 곱창,전라남도 고흥군 도양읍 녹동남문길 8-19,음식점 및 주점업,34.5280288728,127.1347543933
꽃돼지야식,전라남도 고흥군 고흥읍 서문여산길 38,음식점 및 주점업,34.6089711,127.2827999
대한상회,전라남도 고흥군 봉래면 나로도항길 151,소매업; 자동차 제외,34.4639831,127.4541137
기)죽시식당,전남 고흥군 풍양면,음식점 및 주점업,34.575583,127.241963
포두약국,전라남도 전남 고흥군 포두면 우주로,보건업,34.5721358888,127.3398285937
동양퍼니처,전라남도 고흥군 고흥읍 고흥로 1755-3,음식점 및 주점업,34.6076316,127.2864802
여호구매점,전라남도 고흥군 점암면 여호해안길 47,소매업; 자동차 제외,34.6627962,127.4693141
녹동농협하나로마트,전라남도 고흥군 도양읍 우주항공로 21,소매업; 자동차 제외,34.5257738,127.1404837
정서방치킨,전라남도 고흥군 도화면 천마로 2277,음식점 및 주점업,34.5087847,127.3209079
착한식당,전라남도 고흥군 도양읍 녹동남문길 10,음식점 및 주점업,34.5282435,127.1339035
형진전기상사,전남 고흥군 고흥읍 서문리,소매업; 자동차 제외,34.6099,127.2787
거금아일랜드,전라남도 고흥군 금산면 배천길 36,숙박업,34.464914,127.0991191
정든보리밥뷔페,전라남도 고흥군 동강면 원유둔1길 41,음식점 및 주점업,34.7829237,127.3342227
전남철물,전라남도 고흥군 도양읍 비봉로 167,소매업; 자동차 제외,34.5264483,127.1353734
신성세차장,전라남도 고흥군 고흥읍 고흥로 1843,기타 개인 서비스업,34.6138084,127.2898009
고흥맛집,전라남도 고흥군 동강면 고흥로 4271,음식점 및 주점업,34.7805535,127.3337752
