매장명,도로명주소,매장유형,위도,경도
방천식당,경상남도 합천군 합천읍 옥산로 44(합천시장),음식점 및 주점업,35.568307,128.1604127
대병활석,경상남도 합천군 대병면 신성동길 24,전문직별 공사업,35.5216141,128.0139911
쌍둥이식품상회,경상남도 합천군 대병면 신성동길 11,소매업; 자동차 제외,35.5219993,128.0154484
다라국수,경상남도 합천군 합천읍 옥산로 67,음식점 및 주점업,35.5684877385,128.1624817805
다라국수,경상남도 합천군 합천읍 옥산로 67 다라국수,음식점 및 주점업,35.5684877,128.162482
삼가사료,경상남도 합천군 삼가면 금리4길 41-5,소매업; 자동차 제외,35.4151908,128.1230574
해인기공,경상남도 합천군 가야면 가야시장로 71-11 71-11,음식점 및 주점업,35.7609496,128.1383674
명선,경상남도 합천군 가야면 야천로 135,소매업; 자동차 제외,35.7761318876,128.1419035426
금성반점,경상남도 합천군 대병면 서부로 1978,음식점 및 주점업,35.5202937,128.0189933
광명이발관,경상남도 합천군 합천읍 충효로4길 4-1,기타 개인 서비스업,35.5664235,128.1608412
나라동물병원,경상남도 합천군 합천읍 옥산로 26,"기타 전문, 과학 및 기술 서비스업",35.5686299,128.1580241
국수와시락국,경상남도 합천군 대양면 대야로 330-30,음식점 및 주점업,35.5235142,128.1703561
창신한의원,경상남도 합천군 삼가면 삼가중앙1길 39,보건업,35.4143312,128.1206248
다정반찬,경상남도 합천군 합천읍 동서로 63,소매업; 자동차 제외,35.5671698239,128.1592660685
삼일슈퍼,경상남도 합천군 초계면 초계중앙로 24 번지,소매업; 자동차 제외,35.5589401,128.2625526
소통미용실,경상남도 합천군 합천읍 충효로 97-5 (서원아파트),기타 개인 서비스업,35.5688384,128.160871
복자네석쇠구이,경상남도 합천군 초계면 초계중앙로 67,음식점 및 주점업,35.5593025,128.2674544
다사랑식품,경상남도 합천군 초계면 내동3길 12-14,소매업; 자동차 제외,35.5593046,128.2664198
경남연합의원,경상남도 합천군 합천읍 옥산로 70,보건업,35.5681045,128.1628615
합천중기,"경상남도 합천군 합천읍 남정길 3, 3층",전문직별 공사업,35.5613519,128.1553562
정산태양광발전소,경상남도 합천군 청덕면 정산길 14,음식점 및 주점업,35.6028498,128.3162922
합천종합기계,경상남도 합천군 합천읍 강변로 41,전문직별 공사업,35.5721178,128.1641455
쌍백태양광발전소,경상남도 합천군 쌍백면 쌍백중앙로 106-243 쌍백태양광 발전소,"전기, 가스, 증기 및 공기 조절 공급업",35.4557285,128.1510115
가야떡방앗간,경상남도 합천군 가야면 가야시장로 54-1,식료품 제조업,35.7594127,128.138919
개인택시(김국중),"경상남도 합천군 합천읍 남정길 9, B동 502호(한진빌라)",육상 운송 및 파이프라인 운송업,35.5619667,128.155475
가산골감자탕,경상남도 합천군 대병면 서부로 2031,음식점 및 주점업,35.5232817,128.0146943
합천종합기계,"경상남도 합천군 합천읍 강변로 41, 202호",전문직별 공사업,35.5721178,128.1641455
봄봄홀딩스,"경상남도 합천군 삼가면 하판로 23, 2층(사무실동)",도매 및 상품 중개업,35.4172704,128.1082145
적교주유소,경상남도 합천군 청덕면 동부로 2490,소매업; 자동차 제외,35.5287591,128.356563
닛룩 nit look,경상남도 합천군 합천읍 동서로 63,소매업; 자동차 제외,35.5671698,128.1592664
별9호 태양광발전소,경상남도 합천군 대병면 황계폭포로 153 성리166-10,음식점 및 주점업,35.5201784,128.0609526
합천종합기계,"경상남도 합천군 합천읍 옥산로 18, 101호(아담빌라)",전문직별 공사업,35.5686258,128.157166
백년손님,경상남도 합천군 삼가면 삼가중앙길 21,음식점 및 주점업,35.413402,128.12197
장단솔라제3발전소,경상남도 합천군 대병면 장단길 99,"전기, 가스, 증기 및 공기 조절 공급업",35.5106203,128.0524639
한불에스테틱,경상남도 합천군 합천읍 충효로 61,기타 개인 서비스업,35.5659737,128.1607677
시장횟집,"경상남도 합천군 합천읍 옥산로 44, 51, 52호(합천시장)",음식점 및 주점업,35.568307,128.1604127
쓰리돈 조경,경상남도 합천군 묘산면 평촌길 31-8,종합 건설업,35.6732813,128.1366202
삼천리자전거합천점,경상남도 합천군 합천읍 충효로 88,소매업; 자동차 제외,35.5680964,128.1613947
대가식육점,경상남도 합천군 삼가면 일부 5길 5,소매업; 자동차 제외,35.4129534,128.1228943
현대식육식당,경상남도 합천군 합천읍 동서로 89,음식점 및 주점업,35.5668216,128.162071
허승무한의원,경상남도 합천군 합천읍 충효로 77-8,보건업,35.5673934,128.1608805
자연말이김밥,경상남도 합천군 합천읍 충효로 76,음식점 및 주점업,35.5672571,128.1613149
만수탕,경상남도 합천군 합천읍 중앙로 76-9,기타 개인 서비스업,35.5675498,128.1592342
황매축산,경상남도 합천군 삼가면 삼가중앙1길 25-1,소매업; 자동차 제외,35.4136166,128.1204587
봉산영농조합법인,경상남도 합천군 봉산면 서부로 4325,농업,35.6263659,128.0423598
미소정원,경상남도 합천군 가야면 가조가야로 2373-6,음식점 및 주점업,35.7306838314,128.1084589594
미소정원,경상남도 합천군 가야면 가조가야로 2373-6,음식점 및 주점업,35.730681,128.1084778
녹십자약국,경상남도 합천군 합천읍 옥산로 69,소매업; 자동차 제외,35.5684256,128.1628314
하림맛집,경상남도 합천군 야로면 나대길 8,음식점 및 주점업,35.7306268,128.1573754
고향산천식당,경상남도 합천군 야로면 가야산로 660,음식점 및 주점업,35.7284973,128.1572099
수강약국,경상남도 합천군 초계면 초계중앙로 86,소매업; 자동차 제외,35.5588313,128.2694846
구구농장,경상남도 합천군 가야면 야천3길 31,농업,35.7699113,128.1345018
구구식당,경상남도 합천군 가야면 가야산로 1148,음식점 및 주점업,35.765127,128.1373879
친정집,경상남도 합천군 합천읍 충효로4길 21,도매 및 상품 중개업,35.5668101,128.1588733
.카페피오,경상남도 합천군 삼가면 삼가중앙1길 35,음식점 및 주점업,35.4142212,128.1204513
이모하,경상남도 합천군 합천읍 문화로 5,음식점 및 주점업,35.5613921,128.1540153
현대천막사,경상남도 합천군 삼가면 삼가중앙1길 7,소매업; 자동차 제외,35.4130601,128.1212815
한은정,경상남도 합천군 대양면 동부로 32-7,음식점 및 주점업,35.5551354,128.1652997
합천 흑돼지 전문점,경상남도 합천군 합천읍 동서로 91-3,음식점 및 주점업,35.5669151,128.162212
까꼬뽀꼬,경상남도 합천군 삼가면 삼가중앙1길 35,기타 개인 서비스업,35.4142212,128.1204513
청미용실,경상남도 합천군 초계면 초계중앙로 61,기타 개인 서비스업,35.559314875,128.2668344988
성창목공건재상사,경상남도 합천군 합천읍 대야로 909,소매업; 자동차 제외,35.5695722,128.1632985
땡겨요,서울특별시 중구 세종대로9길 20(태평로2가),금융업,37.5611194573,126.9745735647
땡겨요,서울특별시 중구 세종대로9길 20(태평로2가),금융업,37.5611193428,126.9745726822
싹다,경상남도 합천군 합천읍 동서로 63,도매 및 상품 중개업,35.5671698,128.1592664
공화춘수타왕손짜장,경상남도 합천군 대양면 동부로 33,음식점 및 주점업,35.5556172,128.1649063
류지아헤어샵,경상남도 합천군 합천읍 동서로 141-3,기타 개인 서비스업,35.5658249,128.1674444
(주)합천국보테마파크,경상남도 합천군 용주면 연촌우곡길 320-33,스포츠 및 오락관련 서비스업,35.5794337,128.0892834
미니빵집,경상남도 합천군 합천읍 동서로 66-2,소매업; 자동차 제외,35.5669563,128.1594663
"국제대중목욕탕,국제장여관",경상남도 합천군 합천읍 충효로 98-6,숙박업,35.5687757,128.1621731
용궁수산,경상남도 합천군 합천읍 옥산로 44,도매 및 상품 중개업,35.568307,128.1604127
대성가스,경상남도 합천군 가야면 가조가야로 2624,소매업; 자동차 제외,35.7411578,128.1253335
전봇대,경상남도 합천군 합천읍 동서로 69-5,음식점 및 주점업,35.5674108,128.1598065
바우통닭,경상남도 합천군 쌍백면 쌍백중앙로 44,음식점 및 주점업,35.4398106,128.144611
카페플로리안,경상남도 합천군 삼가면 일부3길 6-1,음식점 및 주점업,35.4107359,128.1241823
더썸네일,경상남도 합천군 합천읍 옥산로 67,기타 개인 서비스업,35.5684877,128.162482
드림퀵,경상남도 합천군 합천읍 중앙로 14(코스모스아파트),기타 개인 서비스업,35.5618817,128.1581264
산앤호반 캠핑장,경상남도 합천군 봉산면 서부로 4107-4,숙박업,35.6138643,128.0268115
좋은이불,경상남도 합천군 합천읍 동서로 70,소매업; 자동차 제외,35.5670527,128.1599634
하준헤어스케치,경상남도 합천군 가야면 황산3길 6,기타 개인 서비스업,35.7614667,128.138425
성진카오디오,경상남도 합천군 합천읍 중흥길 19-11,개인 및 소비용품 수리업,35.5665701,128.1563098
수다라,경상남도 합천군 가야면 해인사길 127-15 수다라,소매업; 자동차 제외,35.799524,128.0947414
이지수학교습소,경상남도 합천군 합천읍 중앙로4길 30,교육 서비스업,35.5663687969,128.16001616
현대가구할인마트,경상남도 합천군 합천읍 충효로 101,도매 및 상품 중개업,35.5694726,128.1614183
그레이,경상남도 합천군 합천읍 충효로 77-20,소매업; 자동차 제외,35.5673082,128.1601688
부산식당,경상남도 합천군 쌍책면 성산큰길 23,음식점 및 주점업,35.5752116,128.28484
아트아코디언&색소폰학원,경상남도 합천군 합천읍 중앙로 23,교육 서비스업,35.5628966,128.1579359
마노아워터캠핑장,경상남도 합천군 봉산면 압곡3길 9,숙박업,35.6424478,128.0578454
해인짬뽕,경상남도 합천군 가야면 가조가야로 2345,음식점 및 주점업,35.7280266,128.108408
장모님치킨,경상남도 합천군 봉산면 서부로 4341,음식점 및 주점업,35.6278134,128.0426325
국대삼겹,경상남도 합천군 합천읍 문화로 7-3,음식점 및 주점업,35.5618952,128.1540602
싱싱채소,경상남도 합천군 합천읍 옥산로 44,소매업; 자동차 제외,35.568307,128.1604127
필재기사식당,경상남도 합천군 청덕면 의합대로 2806,음식점 및 주점업,35.5161994,128.3564429
강원상회,경상남도 합천군 가야면 해인사길 122,소매업; 자동차 제외,35.8016571,128.0981444
불앤구이돈 합천점,경상남도 합천군 합천읍 중앙로 90,음식점 및 주점업,35.5688464,128.1591581
키움공인중개사사무소,경남 합천군 합천읍 옥산로 108,부동산업,35.567771,128.1665176
이스트,경남 합천군 율곡면 임북공단길 61,도매 및 상품 중개업,35.58357,128.1805489
강변식육식당,경남 합천군 합천읍 남정길 17,음식점 및 주점업,35.5626911,128.1558376
농업회사법인 비에이엠팜 주식회사,경남 합천군 적중면 부수길 14,소매업; 자동차 제외,35.5443328,128.2856204
필재촌국수식당,경상남도 합천군 청덕면 의합대로 2806,음식점 및 주점업,35.5161994,128.3564429
