매장명,도로명주소,매장유형,위도,경도
월악산약초정보화마을,충청북도 제천시 덕산면 약초로 78,소매업; 자동차 제외,36.9102425,128.1645913
미성설렁탕,제천시 내제로31길 4(청전동),음식점 및 주점업,37.1468458,128.2150453
김밥에 반한 꼬마,충청북도 제천시 고암로,음식점 및 주점업,37.1589703,128.2146948
두마리찜닭 두찜 제천청전점,충청북도 제천시 내제로 204,음식점 및 주점업,37.1454613,128.2091633
광명식품,충청북도 제천시 바이오밸리로,식료품 제조업,37.1553468,128.1727181
경희쇼핑,충청북도 제천시 봉양읍 용두대로36길 5-10,소매업; 자동차 제외,37.1571921,128.1590439
㈜삼성프라자,충청북도 제천시 명륜로 106 (중앙로2가),소매업; 자동차 제외,37.1406825,128.2125239
엘림펜션캠핑장,충청북도 제천시 덕산면 월악산로2길 70-17,숙박업,36.9125236,128.1186285
원조황부자숯불갈비,충청북도 제천시 의림대로33길 29 (청전동),음식점 및 주점업,37.1488131,128.2119924
피카소예술상점,충청북도 제천시 풍양로 108 (중앙로1가),소매업; 자동차 제외,37.136642,128.2112696
자모식당,충청북도 제천시 탑안로4길 6 (신백동),음식점 및 주점업,37.1352751,128.2256262
북경반점,충청북도 제천시 송학면 무도길,음식점 및 주점업,37.1841997,128.2642345
플러스수학교습소,충청북도 제천시 독순로,교육 서비스업,37.1389128,128.2112469
스터디멘토학원,충청북도 제천시 의병대로 235 (신백동),교육 서비스업,37.1326246,128.2263806
가마치옛날통닭 신백점,충청북도 제천시 탑안로4길,음식점 및 주점업,37.1354329,128.2261694
오봉도시락 제천세명대점,제천시 세명로 58(모산동),음식점 및 주점업,37.1808895,128.2017792
어울림피아노,충청북도 제천시 독순로 32 (의림동),교육 서비스업,37.1402251,128.2068324
아모레카운셀러(이태희),충청북도 제천시 청전대로 122 (청전동),음식점 및 주점업,37.1497933,128.2116996
삼보주유소,충청북도 제천시 봉양읍 북부로 913,소매업; 자동차 제외,37.13911,128.0731436
내토축산,제천시 풍양로17길 5(중앙로1가),식료품 제조업,37.1374536,128.2120272
남강생칼국수,충청북도 제천시 칠성로13길,음식점 및 주점업,37.1464857,128.2149502
세븐일레븐제천남천대로점,충청북도 제천시 의병대로 112 (남천동),소매업; 자동차 제외,37.1352123,128.2129877
우리갈비탕미사용,제천시 용두대로9길 24 (하소동),음식점 및 주점업,37.1361412,128.1972679
화이트운동화빨래방 장락점,제천시 장락로 149(장락동),기타 개인 서비스업,37.1553104,128.2261475
가야농수산,충청북도 제천시 내토로40가길,소매업; 자동차 제외,37.1264422,128.2154841
제천한방천연물산업진흥재단,충청북도 제천시 한방엑스포로 19 (왕암동),식료품 제조업,37.143733927,128.1597626847
119출동열쇠도장,충청북도 제천시 칠성로 79 (중앙로2가) 1층,식료품 제조업,37.143139,128.2136605
남제천IC주유소,충청북도 제천시 청풍호로 294 (산곡동),소매업; 자동차 제외,37.1058326,128.198487
유성유리,충청북도 제천시 의병대로16길,소매업; 자동차 제외,37.1354442,128.2094837
