매장명,도로명주소,매장유형,위도,경도
유성슈퍼,전라남도 해남군 해남읍 군청길,소매업; 자동차 제외,34.5731612,126.5984794
화산한국의원,해남군 화산면 송평로,보건업,34.4905553,126.5150114
플러스,전라남도 해남군 해남읍 구교2길,식료품 제조업,34.5763101,126.5942564
디자인하우스,전라남도 해남군 해남읍 중앙1로,기타 개인 서비스업,34.5713206,126.6029483
신도리코 전일사무기 해남점,전라남도 해남군 해남읍 교육청길,식료품 제조업,34.5699519,126.6084901
장군곰탕,전라남도 해남군 해남읍 북부순환로,음식점 및 주점업,34.5744641,126.599208
한통속,전라남도 해남군 해남읍 남각길,식료품 제조업,34.576146,126.5764972
해남혜민병원매점,전라남도 해남군 옥천면 해남로,소매업; 자동차 제외,34.5670285,126.6468528
땅끝원양수산,전라남도 해남군 송지면 어란로,식료품 제조업,34.3663593,126.5030881
백두화원,전라남도 해남군 해남읍 해남로,식료품 제조업,34.5711781,126.6096045
영신식당,전라남도 해남군 북일면 만월길,음식점 및 주점업,34.4624615,126.6722336
일등해남대리운전,전라남도 해남군 해남읍 읍사무소길,식료품 제조업,34.5689917,126.5978916
호산정,전라남도 해남군 해남읍 고산로,음식점 및 주점업,34.5578793,126.6047432
시온통닭,전라남도 해남군 해남읍 중앙2로,음식점 및 주점업,34.5676712,126.5959819
개인택시 (전남26바 2096),전라남도 해남군 계곡면 신성1길,기타 개인 서비스업,34.6464387,126.6599418
현대친환경농자재마트,전라남도 해남군 해남읍 중앙2로,식료품 제조업,34.5676712,126.5959819
한스텐,전라남도 해남군 옥천면 해남로,식료품 제조업,34.5670285,126.6468528
차경식당,전라남도 해남군 북평면 백도로,음식점 및 주점업,34.4094386,126.6255724
땅끝황토친환경 영농조합법인,전라남도 해남군 현산면 땅끝대로,식료품 제조업,34.438867,126.5612711
북평카센터,전라남도 해남군 북평면 백도로,기타 개인 서비스업,34.4094386,126.6255724
정성한우촌,전라남도 해남군 해남읍 남부순환로,음식점 및 주점업,34.5687412,126.6064214
엄마밥상,전라남도 해남군 산이면 관광레저로,음식점 및 주점업,34.6922456,126.3546634
도깨비식당,해남군 해남읍 교육청길,음식점 및 주점업,34.5673767,126.6073968
7-ELEVEN 해남우항리점,전라남도 해남군 황산면 공룡박물관길,소매업; 자동차 제외,34.5764262,126.4344297
소망식당,전라남도 해남군 해남읍 구교2길,음식점 및 주점업,34.5763101,126.5942564
해성중기 - 4,전라남도 해남군 해남읍 영빈로,식료품 제조업,34.5662109,126.6046155
중앙닭갈비,전라남도 해남군 해남읍 명문길,음식점 및 주점업,34.5759127,126.5974164
한양상회,전라남도 해남군 옥천면 해강로,소매업; 자동차 제외,34.5672799,126.6482535
산이약국,전라남도 해남군 산이면 비석길,소매업; 자동차 제외,34.6448036,126.4471771
해오름약국,전라남도 해남군 해남읍 남부순환로,보건업,34.5687412,126.6064214
태웅식당,해남군 삼산면 대흥사길,음식점 및 주점업,34.4967816,126.6253287
오산축산,해남군 해남읍 홍교로,식료품 제조업,34.5701658,126.5988642
개인택시 (전남26바 2007),전라남도 해남군 옥천면 옥천로,기타 개인 서비스업,34.5467941,126.6611009
카페 피엔소,전라남도 해남군 해남읍 동초길,음식점 및 주점업,34.5663574,126.6029245
대일자동차공업사,전라남도 해남군 해남읍 땅끝대로,자동차 및 부품 판매업,34.5651877,126.5938849
씨유 해남군청점,해남군 해남읍 북부순환로 112,소매업; 자동차 제외,34.5742902,126.5998386
로로샤,전라남도 해남군 해남읍 중앙1로,소매업; 자동차 제외,34.5713206,126.6029483
화원주유소,전라남도 해남군 화원면 관광레저로,소매업; 자동차 제외,34.6532589,126.3203083
아시아월드마트,해남군 황산면 명량로,소매업; 자동차 제외,34.5737071,126.4309696
에듀T.O.P 학원,전라남도 해남군 해남읍 구교3길,교육 서비스업,34.5783489,126.592684
울금나라,전라남도 해남군 화원면 청용길,소매업; 자동차 제외,34.6682269,126.3296867
