매장명,도로명주소,매장유형,위도,경도
아리솔펜션,경상남도 거창군 북상면 덕유월성로 1342-21,숙박업,35.7622141,127.7336574
송정약국,경상남도 거창군 거창읍 송정1길 24-6,소매업; 자동차 제외,35.6815656,127.8985043
성이익스프레스,경상남도 거창군 가조면 사양동길 93-4,육상 운송 및 파이프라인 운송업,35.7097423151,127.9922531906
성이익스프레스,경상남도 거창군 가조면 사양동길 93-4,육상 운송 및 파이프라인 운송업,35.7098088996,127.9920668365
씨유 거창아림점,"경상남도 거창군 거창읍 거열로7길 43, 1층 102호(상동주공아파트상가)",소매업; 자동차 제외,35.6900759,127.901861
황금미용실,경상남도 거창군 거창읍 시장길 95(다호),음식점 및 주점업,35.6871810766,127.9156909808
경서교차로,경상남도 거창군 거창읍 강변로 191,소매업; 자동차 제외,35.6868306,127.9175286
더하우스,경상남도 거창군 거창읍 거열로4길 211,"기타 전문, 과학 및 기술 서비스업",35.6973716564,127.9041927026
진명약국,경상남도 거창군 거창읍 중앙로 158-1,소매업; 자동차 제외,35.6874212,127.9154501
부어치킨,경상남도 거창군 거창읍 강남로 266(거창코아루에듀시티),음식점 및 주점업,35.6872339,127.9262853
컴포즈커피거창점,경상남도 거창군 거창읍 아림로 24,음식점 및 주점업,35.6852739,127.9110884
알레르망 거창점,경상남도 거창군 거창읍 중앙로 153,소매업; 자동차 제외,35.687647,127.9149197
금손언니네,경상남도 거창군 거창읍 거열로1길 33,소매업; 자동차 제외,35.6920892,127.914021
드엘르,경상남도 거창군 거창읍 아림로 53,기타 개인 서비스업,35.6878376,127.9096972
한점,경상남도 거창군 거창읍 중앙로 140,음식점 및 주점업,35.6868324,127.9140345
기쁨약국,경상남도 거창군 거창읍 거창대로 65,소매업; 자동차 제외,35.687316,127.9156579
고야디자인,경상남도 거창군 거창읍 장팔3길 103-62 컨테이너,"기타 전문, 과학 및 기술 서비스업",35.6645531,127.8946662
고야디자인,경상남도 거창군 거창읍 장팔3길 103-62 컨테이너,"기타 전문, 과학 및 기술 서비스업",35.6645407536,127.8946932347
빼재 솔리데오,경상남도 거창군 고제면 빼재로 1765 빼재솔리데오,숙박업,35.8416228,127.8438813
두끼 거창점,"경상남도 거창군 거창읍 중앙로 115-2, 2층",음식점 및 주점업,35.6866433,127.9110795
으뜸부분정비,경상남도 거창군 거창읍 거함대로5길 23 으뜸카센터,개인 및 소비용품 수리업,35.6824611,127.919424
풍류정 민박,경상남도 거창군 가북면 가북로 473-54,숙박업,35.7542025,127.9857436
탑선골사과원,"경상남도 거창군 거창읍 강남로1길 98-10, 2층",소매업; 자동차 제외,35.6818084,127.9062269
미니블 미니어처,경상남도 거창군 거창읍 죽전길 17,소매업; 자동차 제외,35.6905469,127.9074401
유(U) 모텔,경상남도 거창군 가조면 온천길 27-23 유모텔,숙박업,35.6970755,128.0230816
보성선식,경상남도 거창군 거창읍 시장길 94 보성선식,식료품 제조업,35.6869223,127.9158244
이교추어탕,경상남도 거창군 거창읍 거창대로 31-1,음식점 및 주점업,35.6844588617,127.9170298759
뷰무인텔,경상남도 거창군 가조면 온천길 30-45,숙박업,35.696082,128.0239944
웰이스턴영어서부경남본부,경상남도 거창군 거창읍 상동길 50 3층,도매 및 상품 중개업,35.6883269,127.9044251
단아헤어,"경상남도 거창군 거창읍 강변로 137-2, 3호",기타 개인 서비스업,35.6848658,127.9121383
원학골 우렁이,경상남도 거창군 거창읍 공수들6길 19 201호,어업,35.6870477,127.9034343
킴드,"경상남도 거창군 거창읍 상동길 50-6, 3층","건축 기술, 엔지니어링 및 기타 과학기술 서비스업",35.6880812,127.9045882
이지헤어,경상남도 거창군 거창읍 거창대로 62,기타 개인 서비스업,35.6871937,127.9163125
숙명 음악 학원,경상남도 거창군 거창읍 거열로5길 36 1층,교육 서비스업,35.6896682,127.9052784
은하수 산장,경상남도 거창군 웅양면 왕암길 452,숙박업,35.8804126,127.9025438
다온카페,"경상남도 거창군 가조면 의상봉길 45-21, 1층",음식점 및 주점업,35.7087633,128.0176342
수니카페,경상남도 거창군 위천면 장터길 51-2,음식점 및 주점업,35.7505967,127.8322689
수승대 임정은 가든,경상남도 거창군 위천면 송계로 363,음식점 및 주점업,35.7552498,127.8328151
Ok미용상사,경상남도 거창군 거창읍 중앙로 108-1,기타 개인 서비스업,35.686073,127.9102941
명광사,경상남도 거창군 거창읍 공수들4길 33,기타 개인 서비스업,35.6876324,127.9025427
개봉식당,경상남도 거창군 거창읍 개봉길 14,음식점 및 주점업,35.6930827,127.9174453
경옥미니슈퍼,경상남도 거창군 웅양면 웅양로 1413 경옥미니슈퍼,소매업; 자동차 제외,35.8038006,127.9176512
경옥미니슈퍼,경상남도 거창군 웅양면 웅양로 1413,소매업; 자동차 제외,35.8037748734,127.9176752197
본모텔&본사우나,경상남도 거창군 가조면 가조가야로 1125 사우나,숙박업,35.7105251454,128.018114385
인터넷창업 biz,경상남도 거창군 거창읍 거창대로 8,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",35.6825882405,127.9184431347
인터넷창업 biz,경상남도 거창군 거창읍 거창대로 8,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",35.6825887,127.9184423
꼬레아이,경상남도 거창군 거창읍 강변로9길 10 사랑채204호,음식점 및 주점업,35.6871626,127.9186964
우진산업,경상남도 거창군 가조면 석강3길 84,기타 제품 제조업,35.6842524,128.026042
녹당수학교습소,경상남도 거창군 거창읍 상동7길 51-15,교육 서비스업,35.6882621,127.9070385
아림꽃집,"경상남도 거창군 거창읍 강변로9길 41, 105호(신흥1차상가)",소매업; 자동차 제외,35.6885346,127.917325
형제산업,경상남도 거창군 주상면 원성기2길 34,임업,35.7777424,127.9253603
