매장명,도로명주소,매장유형,위도,경도
청정해역,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
새말휴게소,강원 횡성군 우천면,소매업; 자동차 제외,37.459443,128.06235
공근농업협동조합,강원 횡성군 공근면,소매업; 자동차 제외,37.536491,127.961752
유소아과의원,강원 횡성군 횡성읍,보건업,37.492351,127.992601
포차야식,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
청일한약방,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
우리의원,강원 횡성군 안흥면 안흥로 32-6,보건업,37.4120909006,128.1571213614
심명규의원,강원 횡성군 횡성읍,보건업,37.492351,127.992601
횡성인쇄사,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
세종의원,강원 횡성군 횡성읍,보건업,37.492351,127.992601
종로약국,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
기아카클리닉횡성점,강원 횡성군 횡성읍,개인 및 소비용품 수리업,37.492351,127.992601
현천주유소,강원 횡성군 둔내면,소매업; 자동차 제외,37.512233,128.218813
중앙종묘사,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
법무사전두표사무소,강원 횡성군 횡성읍 태기로 16,전문 서비스업,37.490877,127.9853001
법무사정지태사무소,강원 횡성군 횡성읍,전문 서비스업,37.492351,127.992601
BYC횡성대리점,강원 횡성군 횡성읍 삼일로 5,소매업; 자동차 제외,37.4900822,127.9862897
횡성농약사,강원 횡성군 횡성읍 문정로 36-1,소매업; 자동차 제외,37.4890436,127.9873306
강원농약사,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
흥농종묘사,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
영농원예사,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
공항시골밥상,강원 횡성군 횡성읍 횡성로 55-2,음식점 및 주점업,37.4599012,127.9744761
횡성점현대자동차,강원 횡성군 횡성읍,개인 및 소비용품 수리업,37.492351,127.992601
아름꽃방,강원 횡성군 횡성읍 한우로 324,소매업; 자동차 제외,37.4865049,127.9882527
